,gene,gene_start,gene_end
95,ftsZ,105304,106456
96,lpxC,106556,107474
97,secM,107704,108217
98,secA,108278,110984
99,mutT,111043,111433
100,yacG,111648,111846
101,zapD,111855,112599
102,coaE,112598,113219
103,yacM,113243,113288
104,guaC,113443,114487
105,hofC,114521,115724
106,hofB,115713,117099
107,ppdD,117108,117549
108,nadC,117751,118645
109,ampD,118732,119284
110,ampE,119280,120135
111,aroP,120177,121551
112,pdhR,122091,122856
113,aceE,123016,125680
114,aceF,125694,127587
115,lpd,127911,129336
116,yacH,129406,131260
117,acnB,131614,134212
118,yacL,134387,134750
119,speD,134787,135582
120,speE,135597,136464
121,yacC,136569,136917
122,cueO,137082,138633
123,gcd,138834,141225
124,hpt,141430,141967
125,can,142007,142670
126,yadG,142778,143705
127,yadH,143701,144472
128,yadI,144576,145017
129,yadE,145080,146310
130,panD,146313,146694
131,rpnC,146967,147870
132,panC,147943,148795
133,panB,148806,149601
134,yadC,149714,150953
135,yadK,151002,151599
136,yadL,151625,152231
137,yadM,152242,152812
138,htrE,152828,155426
139,yadV,155460,156201
140,yadN,156298,156883
141,folK,157252,157732
142,pcnB,157728,159126
143,gluQ,159185,160112
144,dksA,160148,160604
145,sfsA,160781,161486
146,thpR,161500,162031
147,hrpB,162104,164534
148,mrcB,164729,167264
149,fhuA,167483,169727
150,fhuC,169777,170575
151,fhuD,170574,171465
152,fhuB,171461,173444
153,hemL,173601,174882
154,clcA,175106,176528
155,yadW,176551,176617
156,erpA,176609,176954
157,yadS,177000,177624
158,btuF,177661,178462
159,mtn,178454,179153
160,dgt,179236,180754
161,degP,180883,182308
162,cdaR,182462,183620
163,yaeH,183708,184095
164,yaeI,184256,185069
165,dapD,185122,185947
166,glnD,185977,188650
167,map,188711,189506
168,rpsB,189873,190599
169,tsf,190856,191708
170,pyrH,191854,192580
171,frr,192871,193429
172,dxr,193520,194717
173,ispU,194902,195664
174,cdsA,195676,196534
175,rseP,196545,197898
176,bamA,197927,200360
177,skp,200481,200967
178,lpxD,200970,201996
179,fabZ,202100,202556
180,lpxA,202559,203348
181,lpxB,203347,204496
182,rnhB,204492,205089
183,dnaE,205125,208608
184,accA,208620,209580
185,ldcC,209678,211820
186,yaeR,211876,212266
187,tilS,212330,213629
188,rof,213677,213932
189,yaeP,213924,214125
190,yaeQ,214290,214836
191,arfB,214832,215255
192,nlpE,215268,215979
193,yaeF,216178,217003
194,proS,217056,218775
195,trmO,218886,219594
196,rcsF,219590,219995
197,metQ,220112,220928
198,metI,220967,221621
199,metN,221613,222645
200,gmhB,222832,223408
201,dkgB,229166,229970
202,yafC,229966,230881
203,yafD,231121,231922
204,yafE,231925,232549
205,mltD,232596,233955
206,gloB,234026,234782
207,yafS,234815,235538
208,rnhA,235534,236002
209,dnaQ,236066,236798
210,yafT,237334,238120
211,ykfM,238256,238736
212,yafU,238745,239084
213,yafF,239189,239378
214,yafV,239418,240189
215,ivy,240342,240816
216,fadE,240858,243303
217,lpcA,243542,244121
218,yafJ,244326,245094
219,yafK,245064,245805
220,yafQ,245960,246239
221,dinJ,246241,246502
222,yafL,246711,247461
223,rayT,247636,248134
224,lfhA,248357,250070
225,lafU,250071,250827
226,dinB,250897,251953
227,yafN,252004,252298
228,yafO,252300,252699
229,yafP,252708,253161
230,ykfJ,253466,253733
231,prfH,253701,254202
232,pepD,254258,255716
233,gpt,255976,256435
234,frsA,256526,257771
235,crl,257828,259006
236,insB9,257922,258426
237,insA9,258344,258620
238,phoE,259044,260100
239,proB,260387,261491
240,proA,261502,262756
241,ykfN,263149,263212
242,ykfI,263327,263669
243,yafW,263689,264007
244,ykfH,264025,264247
245,ykfG,264255,264732
246,yafX,264747,265206
247,ykfF,265303,265543
248,ykfB,265619,266087
249,yafY,266109,266553
250,yafZ,267183,268005
251,ykfA,268096,268960
252,perR,269288,270182
253,insN,270277,272190
254,insI-1,270602,271754
255,ykfC,272846,273992
256,insH-1,274100,275117
257,mmuP,275324,276728
258,mmuM,276714,277647
259,afuC,277755,278802
260,afuB,278813,279162
261,insB-2,279177,279681
262,insA-2,279599,279875
263,yagB,280384,280735
264,yagA,280828,281983
265,yagE,282277,283186
266,yagF,283200,285168
267,yagG,285394,286777
268,yagH,286788,288399
269,xynR,288403,289162
270,argF,289300,290305
271,ykgS,290509,290638
272,insB-3,290648,291152
273,insA-3,291070,291346
274,yagJ,291499,292231
275,yagK,292321,292948
276,yagL,293219,293918
277,yagM,293944,294799
278,ykgV,294917,295142
279,yagN,295138,295579
280,intF,295695,297096
281,yagP,297380,297791
282,paoD,297769,298726
283,paoC,298735,300934
284,paoB,300930,301887
285,paoA,301883,302573
286,yagU,302990,303605
287,ykgJ,303852,304182
288,ecpE,304494,305205
289,ecpD,305173,306817
290,ecpC,306806,309332
291,ecpB,309357,310026
292,ecpA,310083,310671
293,ecpR,310745,311336
294,ykgL,312111,312339
295,ykgO,312373,312514
296,ykgM,312513,312777
297,ykgR,313140,313242
298,ykgP,313715,313805
299,eaeH,314356,315244
300,insE-1,315290,315590
301,insF-1,315586,316453
302,ykgA,316449,317136
303,rclC,317725,318319
304,rclB,318330,318567
305,rclA,318675,320001
306,rclR,320226,321081
307,ykgE,321607,322327
308,ykgF,322337,323765
309,ykgG,323757,324453
310,ykgH,324695,325364
311,betA,325576,327247
312,betB,327260,328733
313,betI,328746,329334
314,betT,329462,331496
315,yahV,331801,331876
316,pdeL,332370,333459
317,yahB,333500,334433
318,yahC,334524,335022
319,yahD,335279,335885
320,yahE,335924,336788
321,yahF,336777,338325
322,yahG,338324,339743
323,yahH,339792,340089
324,yahI,340164,341115
325,yahJ,341124,342507
326,yahK,342883,343933
327,yahL,344175,344991
328,yahM,345403,345649
329,yahN,345665,346337
330,yahO,346483,346759
331,prpR,346856,348443
332,prpB,348681,349572
333,prpC,350011,351181
334,prpD,351214,352666
335,prpE,352705,354592
336,codB,354921,356181
337,codA,356170,357454
338,cynR,357790,358690
339,cynT,358798,359458
340,cynS,359488,359959
341,cynX,359991,361146
342,lacA,361248,361860
343,lacY,361925,363179
344,lacZ,363230,366305
345,lacI,366427,367510
346,mhpR,367586,368420
347,mhpA,368610,370275
348,mhpB,370276,371221
349,mhpC,371238,372105
350,mhpD,372114,372924
351,mhpF,372920,373871
352,mhpE,373867,374881
353,mhpT,375458,376670
354,yaiL,376771,377311
355,frmB,377534,378368
356,frmA,378461,379571
357,frmR,379605,379881
358,yaiO,380068,380842
359,yaiX,380843,382872
360,insC-1,381350,381716
361,insD-1,381673,382579
362,yaiP,382738,383935
363,ykiC,383959,384079
364,yaiS,384058,384616
365,tauA,385231,386194
366,tauB,386206,386974
367,tauC,386970,387798
368,tauD,387794,388646
369,hemB,388752,389727
370,yaiT,390250,394418
371,insF-2,391738,392605
372,insE-2,392601,392901
373,iprA,394505,395129
374,ampH,395129,396287
375,sbmA,396638,397859
376,yaiW,397871,398966
377,yaiY,399024,399333
378,yaiZ,399592,399805
379,ddlA,399828,400923
380,iraP,401385,401646
381,phoA,401746,403162
382,psiF,403280,403601
383,dgcC,403702,404818
384,proC,404834,405644
385,yaiI,405763,406222
386,aroL,406404,406929
387,yaiA,406978,407170
388,aroM,407427,408105
389,ppnP,408176,408461
390,ykiA,408608,408950
391,ykiD,408946,409030
392,rdgC,409107,410019
393,mak,410143,411052
394,araJ,411296,412481
395,sbcC,412606,415753
396,sbcD,415749,416952
397,phoB,417141,417831
398,phoR,417888,419184
399,brnQ,419590,420910
400,proY,420985,422359
401,malZ,422517,424332
402,acpH,424336,424918
403,queA,425010,426081
404,tgt,426136,427264
405,yajC,427286,427619
406,secD,427646,429494
407,secF,429504,430476
408,yajD,430604,430952
409,tsx,431128,432013
410,yajI,432311,432851
411,nrdR,433001,433451
412,ribD,433454,434558
413,ribE,434646,435117
414,nusB,435136,435556
415,thiL,435633,436611
416,pgpA,436588,437107
417,yajO,437160,438135
418,dxs,438314,440177
419,ispA,440201,441101
420,xseB,441100,441343
421,thiI,441548,442997
422,yajL,443050,443641
423,panE,443603,444515
424,yajQ,444682,445174
425,yajR,445301,446666
426,cyoE,446814,447705
427,cyoD,447716,448046
428,cyoC,448045,448660
429,cyoB,448649,450641
430,cyoA,450662,451610
431,ampG,452069,453545
432,yajG,453588,454167
433,bolA,454471,454789
434,tig,455132,456431
435,clpP,456676,457300
436,clpX,457425,458700
437,lon,458887,461242
438,hupB,461450,461723
439,ppiD,461914,463786
440,ybaV,463936,464308
441,fadM,464401,464800
442,queC,464851,465547
443,ybaE,465611,467312
444,cof,467411,468230
445,decR,468382,468841
446,mdlA,468870,470643
447,mdlB,470635,472417
448,glnK,472597,472936
449,amtB,472965,474252
450,tesB,474300,475161
451,ybaY,475378,475951
452,atl,475981,476371
453,ybaA,476671,477025
454,pdeB,477066,478617
455,ylaC,478780,479251
456,maa,479366,479918
457,hha,480089,480308
458,tomB,480333,480708
459,acrB,481253,484403
460,acrA,484425,485619
461,acrR,485760,486408
462,mscK,486535,489898
463,ybaM,490109,490271
464,priC,490284,490812
465,ybaN,490881,491259
466,apt,491411,491963
467,dnaX,492091,494023
468,dnaX,492091,493386
469,ybaB,494075,494405
470,recR,494404,495010
471,htpG,495119,496994
472,adk,497174,497819
473,hemH,498054,499017
474,aes,499013,499973
475,gsk,500124,501429
476,ybaL,501561,503238
477,fsr,503475,504696
478,ushA,504913,506566
479,ybaK,506602,507082
480,ybaP,507285,508080
481,ybaQ,508217,508559
482,copA,508874,511379
483,copA,511167,511379
484,glsA,511640,512573
485,ybaT,512575,513868
486,cueR,513992,514400
487,ybbJ,514400,514859
488,qmcA,514855,515773
489,fetA,515918,516596
490,fetB,516582,517362
491,cnoX,517424,518279
492,ybbO,518339,519149
493,tesA,519138,519765
494,ybbA,519732,520419
495,ybbP,520415,522830
496,rhsD,523260,527541
497,ybbC,527580,527949
498,ylbH,527948,528659
499,ybbD,528639,529130
500,ylbI,529496,529592
501,ylbG,529644,530016
502,selU,530131,531226
503,allS,531294,532221
504,allA,532450,532933
505,allR,533010,533826
506,gcl,533915,535697
507,hyi,535709,536486
508,glxR,536585,537464
509,ybbW,537632,539087
510,allB,539146,540508
511,ybbY,540564,541866
512,glxK,541887,543033
513,allE,543260,544046
514,allC,544056,545292
515,allD,545313,546363
516,fdrA,546679,548347
517,ylbE,548356,549616
518,ylbF,549626,550442
519,ybcF,550438,551332
520,purK,551526,552594
521,purE,552590,553100
522,lpxH,553217,553940
523,ppiB,553942,554437
524,cysS,554610,555996
525,ybcI,556031,556553
526,ybcJ,556660,556873
527,folD,556874,557741
528,sfmA,558211,558754
529,sfmC,558973,559666
530,sfmD,559696,562300
531,sfmH,562335,563319
532,sfmF,563329,563845
533,fimZ,563847,564480
534,intD,564814,565978
535,xisD,565857,566079
536,exoD,566097,566361
537,renD,566683,568247
538,insE-3,566841,567141
539,insF-3,567137,568004
540,emrE,568314,568647
541,ylcJ,568694,568844
542,ybcK,568901,570428
543,ybcL,570892,571444
544,ybcM,571453,572251
545,ylcH,572367,572469
546,ybcN,572465,572921
547,ninE,572920,573091
548,ybcO,573083,573374
549,rusA,573370,573733
550,ylcG,573729,573870
551,ybcQ,573955,574339
552,nmpC,574528,576825
553,insH-2,574736,575753
554,essD,577397,577613
555,rrrD,577612,578110
556,rzpD,578106,578568
557,rzoD,578326,578509
558,borD,578599,578893
559,ybcV,579183,579594
560,ybcW,579879,580086
561,ylcI,580250,580445
562,nohD,580833,581379
563,aaaD,581353,581662
564,tfaD,581533,582097
565,ybcY,582151,582806
566,tfaX,582874,583060
567,appY,583680,584430
568,ompT,584679,585633
569,envY,586146,586908
570,ybcH,587090,587981
571,nfrA,587981,590954
572,nfrB,590940,593178
573,cusS,593327,594770
574,cusR,594759,595443
575,cusC,595599,596973
576,cusF,597130,597463
577,cusB,597478,598702
578,cusA,598713,601857
579,pheP,601958,603335
580,ybdG,603415,604663
581,nfsB,604770,605424
582,ybdF,605517,605886
583,ybdJ,605950,606199
584,ybdK,606264,607383
585,hokE,607835,607988
586,insL-2,608064,609177
587,entD,609458,610079
588,fepA,610253,612494
589,fes,612736,613939
590,ybdZ,613941,614160
591,entF,614156,618038
592,fepE,618253,619387
593,fepC,619383,620199
594,fepG,620195,621188
595,fepD,621184,622189
596,entS,622299,623550
597,fepB,623553,624510
598,entC,624884,626060
599,entE,626069,627680
600,entB,627693,628551
601,entA,628550,629297
602,entH,629299,629713
603,cstA,629893,631999
604,ybdD,632181,632379
605,hcxA,632388,633477
606,ybdL,633585,634746
607,ybdM,634746,635376
608,ybdN,635348,636569
609,ybdO,636715,637618
610,dsbG,637826,638573
611,ahpC,638944,639508
612,ahpF,639752,641318
613,uspG,641438,641867
614,ybdR,642087,643326
615,yldA,643329,643419
616,rnk,643556,643967
617,rna,644196,645003
618,citT,645116,646580
619,citG,646630,647509
620,citX,647483,648035
621,citF,648038,649571
622,citE,649581,650490
623,citD,650486,650783
624,citC,650797,651856
625,dpiB,652234,653893
626,dpiA,653861,654542
627,dcuC,654582,655968
628,pagP,656556,657117
629,cspE,657291,657501
630,crcB,657554,657938
631,ybeM,658030,658818
632,tatE,658946,659150
633,lipA,659250,660216
634,ybeF,660424,661378
635,lipB,661636,662278
636,ybeD,662378,662642
637,dacA,662751,663963
638,rlpA,664101,665190
639,mrdB,665200,666313
640,mrdA,666315,668217
641,rlmH,668247,668715
642,rsfS,668718,669036
643,cobC,669295,669907
644,nadD,669930,670572
645,holA,670573,671605
646,lptE,671604,672186
647,leuS,672200,674783
648,ybeL,675017,675500
649,ybeQ,675569,676547
650,ybeR,676710,677418
651,djlB,677414,678842
652,ybeT,678851,679406
653,ybeU,679507,680215
654,djlC,680211,681663
655,hscC,681722,683393
656,rihA,683476,684412
657,gltL,684529,685255
658,gltK,685254,685929
659,gltJ,685928,686669
660,gltI,686838,687747
661,insH-3,687996,689013
662,lnt,689342,690881
663,ybeX,690905,691784
664,ybeY,691873,692341
665,ybeZ,692337,693378
666,miaB,693530,694955
667,ubiF,695100,696276
668,asnB,697512,699177
669,umpH,699573,700326
670,nagC,700373,701594
671,nagA,701602,702751
672,nagB,702810,703611
673,nagE,703943,705890
674,glnS,706092,707757
675,chiP,708333,709740
676,chiQ,709789,710116
677,fur,710199,710646
678,uof,710638,710725
679,fldA,710934,711465
680,ybfE,711604,711898
681,ybfF,712037,712802
682,seqA,712986,713532
683,pgm,713557,715198
684,ybfP,715411,715906
685,ybfG,715946,716597
686,potE,716945,718265
687,speF,718261,720460
688,ybfK,720582,720840
689,kdpE,721055,721733
690,kdpD,721729,724414
691,kdpC,724406,724979
692,kdpB,724987,727036
693,kdpA,727058,728732
694,kdpF,728731,728821
695,ybfA,729133,729340
696,rhsC,729582,733776
697,ybfB,733775,734102
698,ybfO,734219,735653
699,ybfC,735649,736219
700,ybfQ,736444,736699
701,ybfL,736899,737961
702,ybfD,738091,738853
703,ybgA,739000,739510
704,phr,739506,740925
705,dtpD,741074,742556
706,ybgI,742826,743570
707,pxpB,743592,744249
708,pxpC,744242,745175
709,pxpA,745164,745899
710,nei,745934,746726
711,abrB,746722,747769
712,ybgO,747920,748982
713,ybgP,748978,749707
714,ybgQ,749721,752169
715,ybgD,752228,752795
716,gltA,753184,754468
717,ybgU,754673,754781
718,sdhC,755176,755566
719,sdhD,755559,755907
720,sdhA,755906,757673
721,sdhB,757688,758405
722,sucA,758705,761507
723,sucB,761521,762739
724,sucC,763013,764180
725,sucD,764179,765049
726,mngR,765152,765875
727,mngA,765983,767960
728,mngB,767977,770611
729,cydA,771457,773026
730,cydB,773041,774181
731,cydX,774195,774309
732,ybgE,774308,774602
733,ybgC,774751,775156
734,tolQ,775152,775845
735,tolR,775848,776277
736,tolA,776341,777607
737,tolB,777739,779032
738,pal,779066,779588
739,cpoB,779597,780389
740,nadA,782084,783128
741,pnuC,783165,783885
742,zitB,783881,784823
743,ybgS,784936,785317
744,aroG,785632,786685
745,gpmA,786842,787595
746,galM,787796,788837
747,galK,788830,789979
748,galT,789982,791029
749,galE,791038,792055
750,modF,792315,793788
751,modE,793855,794644
752,acrZ,794772,794922
753,modA,795088,795862
754,modB,795861,796551
755,modC,796553,797612
756,ybhA,797612,798431
757,pgl,798585,799581
758,ybhD,799621,800575
759,ybhH,800758,801811
760,ybhI,801886,803320
761,ybhJ,803502,805764
762,ybhC,805997,807281
763,ybhB,807432,807909
764,bioA,807967,809257
765,bioB,809343,810384
766,bioF,810380,811535
767,bioC,811521,812277
768,bioD,812269,812947
769,uvrB,813525,815547
770,ybhK,815738,816647
771,moaA,817043,818033
772,moaB,818054,818567
773,moaC,818569,819055
774,moaD,819047,819293
775,moaE,819294,819747
776,ybhL,819883,820588
777,ybhM,820792,821506
778,ybhN,821541,822498
779,clsB,822497,823739
780,ybhP,823735,824497
781,ybhQ,824629,825040
782,ybhR,825001,826108
783,ybhS,826118,827252
784,ybhF,827244,828981
785,ybhG,828973,829972
786,cecR,829971,830643
787,rhlE,830871,832236
788,ybiA,832467,832950
789,dinG,833069,835220
790,ybiB,835247,836210
791,hcxB,836350,837436
792,ybiJ,837664,837925
793,ybiI,838189,838456
794,ybiX,838529,839207
795,fiu,839248,841531
796,mcbA,841795,842056
797,rlmF,842331,843258
798,ybiO,843254,845480
799,glnQ,845740,846463
800,glnP,846459,847119
801,glnH,847257,848004
802,dps,848407,848911
803,rhtA,849209,850097
804,yliM,850331,850397
805,ompX,850449,850965
806,opgE,851013,852597
807,mntS,852868,852997
808,mntR,853182,853650
809,ybiR,853646,854765
810,ldtB,854823,855744
811,ybiT,855962,857555
812,ybiU,857795,859061
813,ybiV,859212,860028
814,ybiW,860173,862606
815,ybiY,862611,863511
816,fsaA,863641,864304
817,moeB,864379,865129
818,moeA,865128,866364
819,iaaA,866567,867533
820,gsiA,867519,869391
821,gsiB,869410,870949
822,gsiC,870966,871887
823,gsiD,871889,872801
824,pdeI,872978,875327
825,dgcI,875334,876663
826,rimO,876709,878035
827,bssR,878247,878631
828,yliI,878741,879857
829,gstB,879853,880480
830,dacC,880726,881929
831,deoR,881975,882734
832,ybjG,882791,883388
833,mdfA,883672,884905
834,ybjH,884945,885230
835,ybjI,885315,886131
836,ybjJ,886130,887339
837,rcdA,887422,887959
838,ybjL,888133,889819
839,ybjM,890088,890466
840,grxA,890495,890753
841,ybjC,890912,891200
842,nfsA,891183,891906
843,rimK,891966,892869
844,ybjN,892956,893433
845,potF,893783,894896
846,potG,894990,896124
847,potH,896133,897087
848,potI,897083,897929
849,ybjO,897988,898477
850,rlmC,898517,899645
851,artJ,899843,900575
852,artM,900865,901534
853,artQ,901533,902250
854,artI,902256,902988
855,artP,903005,903734
856,ybjP,903951,904467
857,ybjQ,904592,904916
858,amiD,904912,905743
859,ybjS,905739,906753
860,ybjT,906851,908282
861,ltaE,908292,909294
862,poxB,909330,911049
863,hcr,911181,912150
864,hcp,912161,913814
865,lysO,913957,914857
866,aqpZ,915351,916047
867,ybjD,916472,918131
868,ybjX,918127,919120
869,macA,919234,920350
870,macB,920346,922293
871,cspD,922365,922590
872,clpS,922912,923233
873,clpA,923263,925540
874,infA,926224,926443
875,aat,926727,927432
876,cydC,927473,929195
877,cydD,929195,930962
878,trxB,931084,932050
879,lrp,932594,933089
880,ftsK,933223,937213
881,lolA,937371,937983
882,rarA,937993,939337
883,serS,939427,940720
884,dmsA,940958,943403
885,dmsB,943413,944031
886,dmsC,944032,944896
887,ycaC,944930,945557
888,ycaD,945870,947019
889,ycaM,947228,948659
890,ycaN,948659,949568
891,ycaK,949667,950258
892,pflA,950339,951080
893,pflB,951271,953554
894,focA,953608,954466
895,ycaO,954871,956632
896,ycaP,956761,957454
897,serC,957652,958741
898,aroA,958811,960095
899,ycaL,960263,961028
900,cmk,961200,961884
901,rpsA,961994,963668
902,ihfB,963827,964112
903,ycaI,964319,966584
904,msbA,966620,968369
905,lpxK,968365,969352
906,ycaQ,969388,970621
907,ycaR,970672,970855
908,kdsB,970851,971598
909,ycbJ,971751,972645
910,elyC,972621,973401
911,cmoM,973536,974322
912,mukF,974318,975641
913,mukE,975621,976326
914,mukB,976325,980786
915,ldtD,981046,982894
916,ycbK,983074,983623
917,gloC,983649,984297
918,aspC,984518,985709
919,ompF,985893,986982
920,asnS,987584,988985
921,pncB,989153,990356
922,pepN,990621,993234
923,ssuB,993276,994044
924,ssuC,994040,994832
925,ssuD,994842,995988
926,ssuA,995984,996944
927,ssuE,996936,997512
928,elfA,997867,998407
929,elfD,998489,999191
930,elfC,999215,1001816
931,elfG,1001806,1002877
932,ycbU,1002888,1003431
933,ycbV,1003438,1003954
934,ycbF,1003946,1004657
935,pyrD,1004767,1005778
936,zapC,1005951,1006494
937,ycbX,1006490,1007600
938,rlmL,1007843,1009952
939,uup,1009963,1011871
940,pqiA,1012000,1013254
941,pqiB,1013258,1014899
942,pqiC,1014895,1015459
943,rmf,1015714,1015882
944,fabA,1015951,1016470
945,ycbZ,1016538,1018299
946,matP,1018484,1018937
947,ompA,1019012,1020053
948,sulA,1020409,1020919
949,sxy,1021137,1021767
950,yccS,1021729,1023883
951,yccF,1023901,1024348
952,helD,1024470,1026525
953,mgsA,1026556,1027015
954,yccT,1027110,1027773
955,yccU,1027945,1028359
956,hspQ,1028403,1028721
957,rlmI,1028778,1029969
958,yccX,1030063,1030342
959,tusE,1030338,1030668
960,yccA,1030758,1031418
961,hyaA,1032138,1033257
962,hyaB,1033253,1035047
963,hyaC,1035065,1035773
964,hyaD,1035769,1036357
965,hyaE,1036353,1036752
966,hyaF,1036748,1037606
967,appC,1037739,1039284
968,appB,1039295,1040432
969,appX,1040444,1040537
970,appA,1040616,1041915
971,etk,1042029,1044210
972,etp,1044229,1044676
973,gfcE,1044663,1045803
974,gfcD,1045848,1047945
975,gfcC,1047944,1048691
976,gfcB,1048687,1049332
977,gfcA,1049438,1049744
978,insA-4,1049832,1050108
979,insB-4,1050026,1050530
980,cspH,1050962,1051175
981,cspG,1051460,1051673
982,ymcF,1051683,1051872
983,ymcE,1051846,1052077
984,gnsA,1052066,1052240
985,yccM,1052288,1053362
986,torS,1053433,1056178
987,torT,1056260,1057289
988,torR,1057261,1057954
989,torC,1058083,1059256
990,torA,1059255,1061802
991,torD,1061798,1062398
992,cbpM,1062549,1062855
993,cbpA,1062854,1063775
994,yccE,1064035,1065292
995,agp,1065584,1066826
996,yccJ,1066863,1067091
997,wrbA,1067111,1067708
998,ymdF,1068080,1068254
999,rutG,1068510,1069839
1000,rutF,1069859,1070354
1001,rutE,1070364,1070955
1002,rutD,1070964,1071765
1003,rutC,1071772,1072159
1004,rutB,1072170,1072863
1005,rutA,1072862,1074011
1006,rutR,1074241,1074880
1007,putA,1074919,1078882
1008,ymdG,1079023,1079146
1009,putP,1079304,1080813
1010,efeU,1081355,1082185
1011,efeO,1082242,1083370
1012,efeB,1083375,1084647
1013,phoH,1084991,1086056
1014,pgaD,1086105,1086519
1015,pgaC,1086520,1087846
1016,pgaB,1087838,1089857
1017,pgaA,1089865,1092289
1018,dgcT,1092875,1094234
1019,insF-4,1094274,1095141
1020,insE-4,1095137,1095437
1021,ymdE,1095543,1095846
1022,ycdU,1095842,1096829
1023,ghrA,1097885,1098824
1024,ycdX,1098878,1099616
1025,ycdY,1099639,1100194
1026,ycdZ,1100295,1100787
1027,csgG,1100850,1101684
1028,csgF,1101710,1102127
1029,csgE,1102151,1102541
1030,csgD,1102545,1103196
1031,csgB,1103950,1104406
1032,csgA,1104446,1104902
1033,csgC,1104960,1105293
1034,ymdA,1105413,1105725
1035,ymdB,1105819,1106353
1036,clsC,1106354,1107776
1037,opgC,1107783,1108941
1038,opgG,1109334,1110870
1039,opgH,1110862,1113406
1040,yceK,1113578,1113806
1041,msyB,1113806,1114181
1042,mdtG,1114263,1115490
1043,lpxL,1115661,1116582
1044,yceA,1116806,1117859
1045,yceI,1117900,1118476
1046,yceJ,1118479,1119046
1047,yceO,1119306,1119447
1048,solA,1119467,1120586
1049,bssS,1120700,1120955
1050,dinI,1121241,1121487
1051,pyrC,1121560,1122607
1052,yceB,1122712,1123273
1053,grxB,1123406,1124054
1054,mdtH,1124117,1125326
1055,rimJ,1125561,1126146
1056,yceH,1126156,1126804
1057,yceM,1126805,1127729
1058,murJ,1127838,1129374
1059,flgN,1129413,1129830
1060,flgM,1129834,1130128
1061,flgA,1130203,1130863
1062,flgB,1131017,1131434
1063,flgC,1131437,1131842
1064,flgD,1131853,1132549
1065,flgE,1132573,1133782
1066,flgF,1133801,1134557
1067,flgG,1134728,1135511
1068,flgH,1135563,1136262
1069,flgI,1136273,1137371
1070,flgJ,1137370,1138312
1071,flgK,1138377,1140021
1072,flgL,1140032,1140986
1073,rne,1141181,1144367
1074,yceQ,1144501,1144822
1075,rluC,1144939,1145899
1076,yceF,1146010,1146595
1077,yceD,1146793,1147315
1078,rpmF,1147366,1147540
1079,plsX,1147620,1148691
1080,fabH,1148758,1149712
1081,fabD,1149727,1150657
1082,fabG,1150669,1151404
1083,acpP,1151614,1151851
1084,fabF,1151938,1153180
1085,pabC,1153299,1154109
1086,mltG,1154111,1155134
1087,tmk,1155123,1155765
1088,holB,1155761,1156766
1089,ycfH,1156776,1157574
1090,ptsG,1157868,1159302
1091,fhuE,1159361,1161551
1092,hinT,1161884,1162244
1093,ycfL,1162246,1162624
1094,lpoB,1162637,1163279
1095,thiK,1163259,1164084
1096,nagZ,1164094,1165120
1097,ycfP,1165142,1165685
1098,ndh,1166084,1167389
1099,ycfJ,1167598,1168138
1100,comR,1168199,1168832
1101,bhsA,1169072,1169330
1102,ldtC,1169411,1170374
1103,mfd,1170517,1173964
1104,ycfT,1174091,1175165
