,Unnamed: 0,pause_status,position,pause_G,pause_C,context_G,context_C,gene,start_dist_rel,end_dist_rel,gene_len,ref_base_A,ref_base_C,ref_base_G,ref_base_T,trans_base_A,trans_base_C,trans_base_G,trans_base_T
11,11,1,-0.50867666793194,2.012331446728271,-0.7735603854974101,2.0123314478474525,-0.7735603832592121,1,0.0148209047672746,-0.014820904767274545,-0.5293053692784028,0,1,0,0,0,1,0,0
12,12,1,-0.5086029778221224,-0.22117216867833686,-0.7735603854974101,-0.2211721722874204,-0.7735603832592121,1,0.3778782297672746,-0.3778782297672746,-0.5293053692784028,0,1,0,0,0,0,0,1
13,13,1,-0.5082558586206128,0.8955796342787719,-0.2131379662056171,0.8955796377800159,-0.21313796985218594,1,0.014697676767274626,-0.01469767676727457,1.6720207188608112,0,1,0,0,0,0,0,1
14,14,1,-0.5082157815433436,0.33720373280021726,-0.7735603854974101,0.33720373274629756,-0.7735603832592121,1,0.08072536576727463,-0.08072536576727457,1.6720207188608112,0,1,0,0,0,0,0,1
15,15,1,-0.5055952578135122,0.33720373280021726,-0.7735603854974101,0.33720373274629756,-0.7735603832592121,1,0.0,0.0,0.0,0,0,1,0,0,1,0,0
16,16,1,-0.5023296224205404,0.8955796342787719,-1.3339827952620225,0.8955796377800159,-1.333982796666238,1,-0.17941291023272538,0.17941291023272543,-1.1914642565906783,0,0,1,0,1,0,0,0
17,17,1,-0.5019370394378275,0.8955796342787719,0.9077068533236075,0.8955796377800159,0.9077068569618659,1,0.25137112076727464,-0.2513711207672746,-0.4729514214220389,0,0,1,0,1,0,0,0
18,18,1,-0.5018387859580706,0.33720373280021726,-0.2131379662056171,0.33720373274629756,-0.21313796985218594,1,-0.33666306723272543,0.33666306723272543,-0.12426136906078741,0,0,1,0,0,0,1,0
19,19,1,-0.5016500358522219,0.8955796342787719,-0.7735603854974101,0.8955796377800159,-0.7735603832592121,1,0.3439896127672746,-0.3439896127672746,-0.12426136906078741,0,0,1,0,1,0,0,0
20,20,1,-0.501602417389445,-1.8962998920987801,0.3472844435589949,-1.896299887388575,0.3472844435548398,1,0.0,0.0,0.0,0,0,1,0,1,0,0,0
21,21,1,-0.5013328667245858,-0.7795480796492813,0.3472844435589949,-0.7795480773211387,0.3472844435548398,1,0.016731732767274576,-0.016731732767274632,1.1296139707433088,0,1,0,0,0,0,1,0
22,22,1,-0.4979157572169886,0.8955796342787719,0.3472844435589949,0.8955796377800159,0.3472844435548398,1,0.1318226947672746,-0.13182269476727448,-0.7371105519987445,0,1,0,0,0,0,1,0
23,23,1,-0.4962732434534214,-0.22117216867833686,-0.2131379662056171,-0.2211721722874204,-0.21313796985218594,1,0.0,0.0,0.0,0,0,0,1,0,1,0,0
24,24,1,-0.49439953235700523,1.4539555452497166,-0.7735603854974101,1.4539555428137343,-0.7735603832592121,1,-0.37579607423272543,0.3757960742327253,-0.45534081271692517,0,1,0,0,0,0,0,1
25,25,1,-0.4931685627739986,-0.7795480796492813,-0.2131379662056171,-0.7795480773211387,-0.21313796985218594,1,-0.03039003923272543,0.03039003923272543,0.11172078758773632,0,1,0,0,0,0,1,0
26,26,1,-0.49313516520960754,0.33720373280021726,0.3472844435589949,0.33720373274629756,0.3472844435548398,1,0.07377662676727459,-0.07377662676727459,0.11172078758773632,0,1,0,0,1,0,0,0
27,27,1,-0.4927968802025499,-0.22117216867833686,-0.2131379662056171,-0.2211721722874204,-0.21313796985218594,1,0.19172833476727458,-0.19172833476727458,-0.0397304472762416,0,0,1,0,0,1,0,0
28,28,1,-0.49264411327898056,0.33720373280021726,0.3472844435589949,0.33720373274629756,0.3472844435548398,1,-0.22515592323272543,0.22515592323272537,-0.3637656474503339,0,1,0,0,0,0,0,1
29,29,1,-0.4921358238957646,1.4539555452497166,-0.7735603854974101,1.4539555428137343,-0.7735603832592121,1,-0.29493531723272537,0.2949353172327255,-0.1735710734351058,0,0,0,1,0,0,0,1
30,30,1,-0.49190742764896134,2.012331446728271,0.3472844435589949,2.0123314478474525,0.3472844435548398,1,-0.4300668552327254,0.4300668552327255,-0.3813762561554476,0,1,0,0,0,1,0,0
31,31,1,-0.49167192095296514,-0.22117216867833686,0.9077068533236075,-0.2211721722874204,0.9077068569618659,1,-0.4689664012327254,0.46896640123272537,0.09763230062364535,0,1,0,0,0,0,0,1
32,32,1,-0.4909121802301083,0.33720373280021726,0.3472844435589949,0.33720373274629756,0.3472844435548398,1,-0.21871213523272542,0.21871213523272548,-0.15243834298896936,0,1,0,0,0,0,0,1
33,33,1,-0.49085551210472217,1.4539555452497166,-0.7735603854974101,1.4539555428137343,-0.7735603832592121,1,-0.01047777223272539,0.01047777223272539,-0.15243834298896936,0,1,0,0,0,0,0,1
34,34,1,-0.49083504262977284,0.33720373280021726,-0.7735603854974101,0.33720373274629756,-0.7735603832592121,1,0.06473996276727456,-0.06473996276727462,-0.15243834298896936,0,0,0,1,1,0,0,0
35,35,1,-0.49028172040166834,0.33720373280021726,-1.3339827952620225,0.33720373274629756,-1.333982796666238,1,0.27016692176727464,-0.2701669217672746,-0.5574823432065847,0,1,0,0,0,0,0,1
36,36,1,-0.49017053883246975,0.8955796342787719,-1.8944052145538155,0.8955796377800159,-1.894405210073264,1,-0.35206676723272545,0.35206676723272545,-1.0329687782446548,0,1,0,0,0,0,1,0
37,37,1,-0.49003005359387003,0.33720373280021726,0.3472844435589949,0.33720373274629756,0.3472844435548398,1,-0.4448841152327254,0.4448841152327254,1.5417022144429697,0,1,0,0,0,1,0,0
38,38,1,-0.4889496962528591,-0.22117216867833686,0.9077068533236075,-0.2211721722874204,0.9077068569618659,1,-0.49833281523272543,0.49833281523272543,-0.40955323008362954,0,1,0,0,0,0,0,1
39,39,1,-0.48790187460360984,-0.22117216867833686,1.4681292726154007,-0.2211721722874204,1.4681292703688922,1,0.12311540876727467,-0.12311540876727461,-0.5856593171347666,0,0,1,0,0,0,1,0
40,40,1,-0.4869708366956505,0.33720373280021726,-0.2131379662056171,0.33720373274629756,-0.21313796985218594,1,0.2037181197672746,-0.2037181197672746,-0.7371105519987445,0,0,0,1,0,0,0,1
41,41,1,-0.48682539568943145,1.4539555452497166,-0.2131379662056171,1.4539555428137343,-0.21313796985218594,1,-0.3933053742327254,0.3933053742327254,1.4923925100686513,0,1,0,0,0,0,0,1
42,42,1,-0.4864896963002621,2.5707073576992148,-0.2131379662056171,2.570707352881171,-0.21313796985218594,1,0.19152946076727462,-0.19152946076727456,1.4923925100686513,0,1,0,0,1,0,0,0
43,43,1,-0.4857961043017152,-0.7795480796492813,0.3472844435589949,-0.7795480773211387,0.3472844435548398,1,-0.3814624792327254,0.38146247923272536,0.037756231026258726,0,1,0,0,0,1,0,0
44,44,1,-0.4839814314804161,0.33720373280021726,-0.2131379662056171,0.33720373274629756,-0.21313796985218594,1,0.0,0.0,0.0,0,0,1,0,1,0,0,0
45,45,1,-0.47950077114808237,0.33720373280021726,-1.8944052145538155,0.33720373274629756,-1.894405210073264,1,-0.40216423323272543,0.40216423323272543,-1.071712117395905,0,0,1,0,1,0,0,0
46,46,1,-0.4773279902492483,0.33720373280021726,-0.2131379662056171,0.33720373274629756,-0.21313796985218594,1,0.0,0.0,0.0,0,1,0,0,0,0,0,1
47,47,1,-0.4768845567813982,0.8955796342787719,-0.2131379662056171,0.8955796377800159,-0.21313796985218594,1,0.3708304187672746,-0.37083041876727457,0.9992954663254674,0,1,0,0,0,1,0,0
48,48,1,-0.47503325437334765,0.33720373280021726,0.3472844435589949,0.33720373274629756,0.3472844435548398,1,-0.03649631823272542,0.03649631823272537,-0.6948450911064716,0,0,1,0,1,0,0,0
49,49,1,-0.4726585798110658,-0.7795480796492813,-0.2131379662056171,-0.7795480773211387,-0.21313796985218594,1,-0.06945983023272545,0.0694598302327254,-0.7018893345885171,0,0,1,0,1,0,0,0
50,50,1,-0.47261117681644627,0.8955796342787719,0.3472844435589949,0.8955796377800159,0.3472844435548398,1,0.20726972876727467,-0.20726972876727456,-0.7018893345885171,1,0,0,0,1,0,0,0
51,51,1,-0.4724874980941207,0.33720373280021726,0.9077068533236075,0.33720373274629756,0.9077068569618659,1,0.0,0.0,0.0,0,1,0,0,1,0,0,0
52,52,1,-0.47226254933783524,0.33720373280021726,-0.2131379662056171,0.33720373274629756,-0.21313796985218594,1,-0.4587370032327254,0.45873700323272537,-0.6349690215090851,0,1,0,0,0,0,0,1
53,53,1,-0.47098159114232074,0.33720373280021726,0.9077068533236075,0.33720373274629756,0.9077068569618659,1,-0.2856084312327254,0.2856084312327254,-0.04677469075828709,0,1,0,0,0,0,1,0
54,54,1,-0.4706978195790755,0.33720373280021726,-0.7735603854974101,0.33720373274629756,-0.7735603832592121,1,-0.4084527662327254,0.4084527662327254,1.2211891360099,0,1,0,0,0,0,0,1
55,55,1,-0.47023822599942333,-0.22117216867833686,0.3472844435589949,-0.2211721722874204,0.3472844435548398,1,0.46824267176727463,-0.4682426717672746,1.2211891360099,0,1,0,0,0,1,0,0
56,56,1,-0.470090845779788,-0.7795480796492813,-1.8944052145538155,-0.7795480773211387,-1.894405210073264,1,-0.5002149152327254,0.5002149152327254,-0.430685960529766,0,0,0,1,0,1,0,0
57,57,1,-0.469205271653032,0.8955796342787719,0.9077068533236075,0.8955796377800159,0.9077068569618659,1,0.48611047376727456,-0.48611047376727456,-0.9343493694960181,0,1,0,0,0,0,0,1
58,58,1,-0.4688618154101976,2.012331446728271,-0.7735603854974101,2.0123314478474525,-0.7735603832592121,1,-0.05685846223272539,0.05685846223272539,2.45393174536786,0,1,0,0,0,1,0,0
59,59,1,-0.4684017908942307,1.4539555452497166,-0.7735603854974101,1.4539555428137343,-0.7735603832592121,1,-0.3032059002327254,0.3032059002327254,-0.5081726388322664,0,1,0,0,0,1,0,0
60,60,1,-0.4682919021339763,1.4539555452497166,-0.2131379662056171,1.4539555428137343,-0.21313796985218594,1,0.22804409976727458,-0.22804409976727458,-0.5081726388322664,0,1,0,0,0,0,0,1
61,61,1,-0.46737723980597645,1.4539555452497166,-1.3339827952620225,1.4539555428137343,-1.333982796666238,1,0.4493369217672746,-0.4493369217672746,-0.11017288209669644,0,0,1,0,1,0,0,0
62,62,1,-0.4672753233675444,-1.3379239811278356,0.3472844435589949,-1.337923982354857,0.3472844435548398,1,0.06997506976727452,-0.06997506976727458,-1.39926943931102,0,0,1,0,1,0,0,0
63,63,1,-0.46724882078418895,0.33720373280021726,-0.7735603854974101,0.33720373274629756,-0.7735603832592121,1,0.0,0.0,0.0,0,0,1,0,1,0,0,0
64,64,1,-0.46664163151674404,2.5707073576992148,-1.3339827952620225,2.570707352881171,-1.333982796666238,1,0.4699569787672746,-0.4699569787672746,-0.6666681171782898,0,0,1,0,1,0,0,0
65,65,1,-0.4665780684103224,-0.22117216867833686,0.3472844435589949,-0.2211721722874204,0.3472844435548398,1,-0.3747645822327254,0.37476458223272546,0.38292416164648746,0,0,1,0,1,0,0,0
66,66,1,-0.4649573169306487,1.4539555452497166,-1.3339827952620225,1.4539555428137343,-1.333982796666238,1,0.0,0.0,0.0,0,1,0,0,0,0,0,1
67,67,1,-0.464356807176082,1.4539555452497166,-1.3339827952620225,1.4539555428137343,-1.333982796666238,1,0.0,0.0,0.0,0,0,1,0,0,0,1,0
68,68,1,-0.46230210282748213,0.8955796342787719,-0.2131379662056171,0.8955796377800159,-0.21313796985218594,1,0.0,0.0,0.0,0,1,0,0,0,0,0,1
69,69,1,-0.4607548259894687,1.4539555452497166,0.9077068533236075,1.4539555428137343,0.9077068569618659,1,0.0,0.0,0.0,0,1,0,0,0,1,0,0
70,70,1,-0.4589832467996419,-0.7795480796492813,0.9077068533236075,-0.7795480773211387,0.9077068569618659,1,0.05673300976727458,-0.05673300976727458,-1.166809404403519,0,1,0,0,0,1,0,0
71,71,1,-0.45746376535392813,0.33720373280021726,-0.2131379662056171,0.33720373274629756,-0.21313796985218594,1,0.0006766757672745927,-0.0006766757672745927,-0.39546474311953855,0,0,0,1,0,0,0,1
72,72,1,-0.45547003849386153,-1.3379239811278356,2.0285516823800127,-1.337923982354857,2.0285516837759183,1,0.34505798876727467,-0.34505798876727456,-0.620880534544994,0,0,0,1,0,0,0,1
73,73,1,-0.45338495313507365,-1.3379239811278356,0.3472844435589949,-1.337923982354857,0.3472844435548398,1,0.21416814476727453,-0.21416814476727458,-0.4060311083426068,0,1,0,0,1,0,0,0
74,74,1,-0.4533487544846369,-0.22117216867833686,-1.3339827952620225,-0.2211721722874204,-1.333982796666238,1,0.3746265977672746,-0.3746265977672746,-0.4060311083426068,0,1,0,0,0,1,0,0
75,75,1,-0.45091331790197914,-0.7795480796492813,0.9077068533236075,-0.7795480773211387,0.9077068569618659,1,0.1704725827672745,-0.17047258276727462,-0.45534081271692517,0,0,1,0,0,1,0,0
76,76,1,-0.4508771192515424,1.4539555452497166,-0.7735603854974101,1.4539555428137343,-0.7735603832592121,1,0.33763676176727464,-0.3376367617672746,-0.45534081271692517,0,0,0,1,0,0,0,1
77,77,1,-0.44364256039997046,0.8955796342787719,-0.7735603854974101,0.8955796377800159,-0.7735603832592121,1,0.4663231617672746,-0.4663231617672746,0.04127835276728147,0,0,0,1,0,0,1,0
78,78,1,-0.4283216970707763,-1.3379239811278356,-0.2131379662056171,-1.337923982354857,-0.21313796985218594,1,0.010656279767274568,-0.010656279767274568,-0.9026502738268135,1,0,0,0,0,1,0,0
79,79,1,-0.42725254407394814,0.8955796342787719,-0.7735603854974101,0.8955796377800159,-0.7735603832592121,1,0.41332872476727456,-0.4133287247672746,-1.3851809523469292,1,0,0,0,0,1,0,0
80,80,1,-0.4265533499033099,0.33720373280021726,-0.2131379662056171,0.33720373274629756,-0.21313796985218594,1,0.4060278567672746,-0.4060278567672746,0.0271898658031905,1,0,0,0,0,0,1,0
81,81,1,-0.422901595572346,-0.7795480796492813,0.3472844435589949,-0.7795480773211387,0.3472844435548398,1,-0.2067096882327254,0.2067096882327254,-0.08551802990953725,0,1,0,0,0,1,0,0
82,82,1,-0.42146916326220635,0.8955796342787719,-0.7735603854974101,0.8955796377800159,-0.7735603832592121,1,-0.06599402023272544,0.06599402023272549,-0.31093382133499275,0,0,0,1,0,0,1,0
83,83,1,-0.4213618601198403,0.33720373280021726,0.9077068533236075,0.33720373274629756,0.9077068569618659,1,0.37549534076727464,-0.3754953407672746,-0.31093382133499275,0,1,0,0,0,1,0,0
84,84,1,-0.41993912387678184,0.33720373280021726,1.4681292726154007,0.33720373274629756,1.4681292703688922,1,-0.2530700302327254,0.25307003023272545,-0.33911079526317467,0,0,1,0,0,0,1,0
85,85,1,-0.4193037082807226,0.8955796342787719,-0.7735603854974101,0.8955796377800159,-0.7735603832592121,1,-0.3287538282327254,0.32875382823272536,-1.0259245347626094,0,0,0,1,0,0,1,0
86,86,1,-0.41910009087201594,-0.22117216867833686,0.9077068533236075,-0.2211721722874204,0.9077068569618659,1,-0.027292438232725424,0.027292438232725424,-0.4905620301271526,0,0,0,1,0,0,1,0
87,87,1,-0.4184836364738045,-0.7795480796492813,0.3472844435589949,-0.7795480773211387,0.3472844435548398,1,-0.18771978923272542,0.18771978923272536,-0.5786150736527211,0,1,0,0,0,0,1,0
88,88,1,-0.4182190415765645,-0.22117216867833686,-0.2131379662056171,-0.2211721722874204,-0.21313796985218594,1,-0.3889827292327254,0.38898272923272537,0.06593320495444066,1,0,0,0,0,0,1,0
89,89,1,-0.4166129419315914,-0.22117216867833686,-0.2131379662056171,-0.2211721722874204,-0.21313796985218594,1,-0.24262608023272542,0.24262608023272547,0.703437240079557,0,0,1,0,0,0,1,0
90,90,1,-0.4164147112268187,-1.3379239811278356,0.9077068533236075,-1.337923982354857,0.9077068569618659,1,0.21922130876727464,-0.21922130876727458,0.703437240079557,0,1,0,0,1,0,0,0
91,91,1,-0.41601135483623786,-0.7795480796492813,-0.7735603854974101,-0.7795480773211387,-0.7735603832592121,1,0.0,0.0,0.0,1,0,0,0,0,0,0,1
92,92,1,-0.4159673993321361,-0.7795480796492813,2.0285516823800127,-0.7795480773211387,2.0285516837759183,1,-0.4391561032327254,0.43915610323272536,0.09763230062364535,0,0,1,0,0,0,1,0
93,93,1,-0.4158745325563133,0.8955796342787719,1.4681292726154007,0.8955796377800159,1.4681292703688922,1,-0.1471506832327254,0.1471506832327254,0.09763230062364535,0,1,0,0,0,0,1,0
94,94,1,-0.4149842181300953,0.33720373280021726,0.9077068533236075,0.33720373274629756,0.9077068569618659,1,-0.42363859223272543,0.4236385922327255,-0.9026502738268135,0,0,1,0,0,0,1,0
95,95,1,-0.4138633527755004,-0.22117216867833686,0.3472844435589949,-0.2211721722874204,0.3472844435548398,1,-0.4952197892327254,0.49521978923272536,0.5625523704386474,0,0,0,1,1,0,0,0
96,96,1,-0.41262872023381864,-0.7795480796492813,-1.3339827952620225,-0.7795480773211387,-1.333982796666238,1,-0.20179793323272543,0.20179793323272532,-0.6737123606603352,0,0,0,1,0,0,0,1
97,97,1,-0.4108728702194792,1.4539555452497166,-0.2131379662056171,1.4539555428137343,-0.21313796985218594,1,0.24478166576727467,-0.24478166576727456,-0.9625263434242001,0,0,1,0,1,0,0,0
98,98,1,-0.41001961631632744,-0.7795480796492813,0.3472844435589949,-0.7795480773211387,0.3472844435548398,1,0.2224734477672745,-0.22247344776727462,-0.9871811956113593,1,0,0,0,0,1,0,0
99,99,1,-0.40979035819689474,-0.7795480796492813,-0.7735603854974101,-0.7795480773211387,-0.7735603832592121,1,0.0,0.0,0.0,0,0,0,1,0,0,1,0
100,100,1,-0.4089696399855045,-0.7795480796492813,1.4681292726154007,-0.7795480773211387,1.4681292703688922,1,-0.3229347522327254,0.3229347522327255,-0.23344714303249242,0,0,1,0,0,1,0,0
101,101,1,-0.4040951038615138,-0.22117216867833686,0.3472844435589949,-0.2211721722874204,0.3472844435548398,1,0.0,0.0,0.0,0,1,0,0,1,0,0,0
102,102,1,-0.39385778076895106,0.8955796342787719,0.3472844435589949,0.8955796377800159,0.3472844435548398,1,-0.3838381152327254,0.3838381152327255,-0.008031351607036923,0,0,1,0,0,0,0,1
103,103,1,-0.39339560157141046,0.33720373280021726,0.9077068533236075,0.33720373274629756,0.9077068569618659,1,-0.4502611192327254,0.4502611192327254,-0.6173584128039713,0,0,0,1,0,0,0,1
104,104,1,-0.3897882336808631,-0.22117216867833686,-0.2131379662056171,-0.2211721722874204,-0.21313796985218594,1,0.29948865976727457,-0.29948865976727457,-1.2090748652957921,0,1,0,0,0,0,1,0
105,105,1,-0.38247093505686436,0.8955796342787719,-2.4548276243184275,0.8955796377800159,-2.45482762348029,1,0.0,0.0,0.0,1,0,0,0,1,0,0,0
106,106,1,-0.3756270199745889,1.4539555452497166,0.3472844435589949,1.4539555428137343,0.3472844435548398,1,0.2779776107672747,-0.27797761076727456,-0.9730927086472683,1,0,0,0,0,1,0,0
107,107,1,-0.37124978435778866,-0.7795480796492813,1.4681292726154007,-0.7795480773211387,1.4681292703688922,1,-0.037360920232725414,0.037360920232725414,-0.5011283953502208,0,1,0,0,0,0,1,0
108,108,1,-0.36958335362875433,-0.22117216867833686,0.9077068533236075,-0.2211721722874204,0.9077068569618659,1,0.08563807976727456,-0.08563807976727456,0.5977735878488748,1,0,0,0,1,0,0,0
109,109,1,-0.3693765041976872,0.33720373280021726,-0.2131379662056171,0.33720373274629756,-0.21313796985218594,1,-0.1901984212327254,0.19019842123272535,-1.0858006043599961,1,0,0,0,0,1,0,0
110,110,1,-0.3691752569387115,0.33720373280021726,0.9077068533236075,0.33720373274629756,0.9077068569618659,1,-0.4498766512327254,0.44987665123272536,-0.9167387607909044,0,0,0,1,0,0,1,0
111,111,1,-0.3686919618617495,-0.22117216867833686,0.9077068533236075,-0.2211721722874204,0.9077068569618659,1,0.46392103776727456,-0.4639210377672746,-0.4236417170477205,0,1,0,0,0,0,1,0
112,112,1,-0.3680783085495838,1.4539555452497166,0.3472844435589949,1.4539555428137343,0.3472844435548398,1,0.35652721076727467,-0.35652721076727456,1.3972952230610372,0,0,1,0,0,0,0,1
113,113,1,-0.36570083290125627,0.33720373280021726,-0.2131379662056171,0.33720373274629756,-0.21313796985218594,1,-0.20883090023272538,0.20883090023272544,-0.8427742042294268,0,0,0,1,1,0,0,0
114,114,1,-0.3651223008987404,-0.22117216867833686,-0.7735603854974101,-0.2211721722874204,-0.7735603832592121,1,-0.3635211652327254,0.3635211652327255,-0.44125232575283424,0,0,0,1,0,1,0,0
115,115,1,-0.3651085109366693,0.8955796342787719,-0.7735603854974101,0.8955796377800159,-0.7735603832592121,1,-0.3005909782327254,0.3005909782327254,-0.44125232575283424,0,0,0,1,0,0,0,1
116,116,1,-0.36471872904000224,-0.7795480796492813,0.9077068533236075,-0.7795480773211387,0.9077068569618659,1,-0.06811615023272544,0.06811615023272544,0.17159685718512294,0,0,0,1,1,0,0,0
117,117,1,-0.36464848642070236,-0.22117216867833686,2.0285516823800127,-0.2211721722874204,2.0285516837759183,1,0.14370971076727457,-0.14370971076727457,0.17159685718512294,0,1,0,0,0,0,1,0
118,118,1,-0.3638842208665409,-0.7795480796492813,0.3472844435589949,-0.7795480773211387,0.3472844435548398,1,-0.2544449352327254,0.2544449352327255,0.037756231026258726,0,0,0,1,0,1,0,0
119,119,1,-0.36260606375707205,-1.3379239811278356,0.3472844435589949,-1.337923982354857,0.3472844435548398,1,-0.1807830912327254,0.1807830912327254,-0.7511990389628356,0,0,1,0,0,0,0,1
120,120,1,-0.3617547490673365,0.33720373280021726,-1.8944052145538155,0.33720373274629756,-1.894405210073264,1,0.0,0.0,0.0,0,0,0,1,0,0,0,1
121,121,1,-0.36145072349729934,0.33720373280021726,-0.2131379662056171,0.33720373274629756,-0.21313796985218594,1,0.13163134976727453,-0.13163134976727459,0.6506054139642159,0,0,0,1,0,0,0,1
122,122,1,-0.35993361220131653,1.4539555452497166,-1.3339827952620225,1.4539555428137343,-1.333982796666238,1,-0.2655629262327254,0.26556292623272537,-0.7371105519987445,1,0,0,0,0,1,0,0
123,123,1,-0.353045526146782,0.8955796342787719,0.3472844435589949,0.8955796377800159,0.3472844435548398,1,0.40194535576727464,-0.4019453557672746,-0.8639069346755633,1,0,0,0,0,1,0,0
124,124,1,-0.35005612093154764,-1.3379239811278356,-0.7735603854974101,-1.337923982354857,-0.7735603832592121,1,0.01666421876727464,-0.01666421876727464,-0.7934644998551085,0,0,0,1,0,0,1,0
125,125,1,-0.34997402756359286,0.33720373280021726,0.9077068533236075,0.33720373274629756,0.9077068569618659,1,0.0,0.0,0.0,1,0,0,0,0,0,1,0
126,126,1,-0.3497195596697489,-1.3379239811278356,0.9077068533236075,-1.337923982354857,0.9077068569618659,1,-0.17489799523272542,0.17489799523272542,1.6544101101556974,1,0,0,0,1,0,0,0
127,127,1,-0.34700056699200327,1.4539555452497166,-1.3339827952620225,1.4539555428137343,-1.333982796666238,1,-0.002482907232725373,0.002482907232725373,0.20681807459535034,1,0,0,0,0,0,1,0
128,128,1,-0.34686439111655076,-0.22117216867833686,1.4681292726154007,-0.2211721722874204,1.4681292703688922,1,0.40032142676727456,-0.40032142676727456,0.20681807459535034,0,1,0,0,0,0,0,1
129,129,1,-0.34676893872283954,0.33720373280021726,-0.7735603854974101,0.33720373274629756,-0.7735603832592121,1,-0.2609361632327254,0.2609361632327254,-0.29684533437090177,0,0,0,1,0,0,1,0
130,130,1,-0.3466381495513211,1.4539555452497166,-0.7735603854974101,1.4539555428137343,-0.7735603832592121,1,0.27151997776727455,-0.2715199777672746,-0.29684533437090177,0,1,0,0,0,1,0,0
131,131,1,-0.3463929467882436,-0.22117216867833686,0.3472844435589949,-0.2211721722874204,0.3472844435548398,1,0.2632678657672747,-0.26326786576727457,-1.1597651609214736,0,1,0,0,0,0,1,0
132,132,1,-0.34634274270757837,1.4539555452497166,0.9077068533236075,1.4539555428137343,0.9077068569618659,1,-0.2972580282327254,0.2972580282327254,-0.8216414737832903,0,0,1,0,1,0,0,0
133,133,1,-0.3462895220727101,-1.3379239811278356,1.4681292726154007,-1.337923982354857,1.4681292703688922,1,0.05916332776727462,-0.05916332776727462,-0.8216414737832903,0,0,0,1,0,0,1,0
134,134,1,-0.3460333304336072,-0.22117216867833686,-0.7735603854974101,-0.2211721722874204,-0.7735603832592121,1,-0.19489725023272542,0.19489725023272542,-0.14891622124794662,1,0,0,0,0,1,0,0
135,135,1,-0.345467080116061,-0.7795480796492813,0.3472844435589949,-0.7795480773211387,0.3472844435548398,1,0.057222739767274544,-0.05722273976727449,-1.0224024130215867,1,0,0,0,0,1,0,0
136,136,1,-0.3453578377602787,1.4539555452497166,-0.7735603854974101,1.4539555428137343,-0.7735603832592121,1,-0.16378039523272542,0.16378039523272547,-0.7054114563295399,0,1,0,0,0,0,1,0
137,137,1,-0.3451576678420898,0.8955796342787719,0.3472844435589949,0.8955796377800159,0.3472844435548398,1,0.0,0.0,0.0,0,1,0,0,0,1,0,0
138,138,1,-0.34399737181469775,0.8955796342787719,-0.2131379662056171,0.8955796377800159,-0.21313796985218594,1,0.01730395276727459,-0.01730395276727459,-0.3989868648605613,0,0,1,0,0,1,0,0
139,139,1,-0.3426009226868374,-0.22117216867833686,-0.2131379662056171,-0.2211721722874204,-0.21313796985218594,1,-0.2679483472327254,0.2679483472327254,0.0941101788826226,0,0,1,0,0,1,0,0
